scenario,algo,t,satisfaction
1,Q-RITA,0,0.8533319923596243
1,Q-RITA,1,0.8318422354395745
1,Q-RITA,2,0.9189825750274982
1,Q-RITA,3,0.8845821174502162
1,Q-RITA,4,0.9255542991037177
1,Q-RITA,5,0.930811944460818
1,Q-RITA,6,0.94
1,Q-RITA,7,0.94
1,Q-RITA,8,0.9196429131443518
1,Q-RITA,9,0.94
1,Q-RITA,10,0.94
1,Q-RITA,11,0.9113572773065038
1,Q-RITA,12,0.9283328272896587
1,Q-RITA,13,0.9350613928563305
1,Q-RITA,14,0.878388213846063
1,Q-RITA,15,0.8759786608811841
1,Q-RITA,16,0.8515647941273069
1,Q-RITA,17,0.8884501014144767
1,Q-RITA,18,0.8547501354591355
1,Q-RITA,19,0.8804970874988346
1,Q-RITA,20,0.8501311621961526
1,Q-RITA,21,0.8535667352579381
1,Q-RITA,22,0.831499727784293
1,Q-RITA,23,0.8493226902364295
1,Q-RITA,24,0.8276240722846937
1,Q-RITA,25,0.8080984844617698
1,Q-RITA,26,0.8673202729218518
1,Q-RITA,27,0.8697641757600872
1,Q-RITA,28,0.9115122722653382
1,Q-RITA,29,0.862496039686108
1,Q-RITA,30,0.8638667905815487
1,Q-RITA,31,0.8550393660711091
1,Q-RITA,32,0.8075284348096147
1,Q-RITA,33,0.8834476854378666
1,Q-RITA,34,0.9392661610332866
1,Q-RITA,35,0.9141806088201649
1,Classical-RR,0,0.635571751645873
1,Classical-RR,1,0.7100178829427812
1,Classical-RR,2,0.6826944543863422
1,Classical-RR,3,0.7406512376954774
1,Classical-RR,4,0.7153444827172808
1,Classical-RR,5,0.7241452935849806
1,Classical-RR,6,0.703628848091421
1,Classical-RR,7,0.7194390423097268
1,Classical-RR,8,0.7628709421624387
1,Classical-RR,9,0.7421979603002631
1,Classical-RR,10,0.6880382198749534
1,Classical-RR,11,0.680127855926231
1,Classical-RR,12,0.7110866486140248
1,Classical-RR,13,0.648827551851727
1,Classical-RR,14,0.6677292549108058
1,Classical-RR,15,0.604816321248788
1,Classical-RR,16,0.6266507178930739
1,Classical-RR,17,0.6338431930340827
1,Classical-RR,18,0.6033495846935282
1,Classical-RR,19,0.5780061189649259
1,Classical-RR,20,0.5680228139036905
1,Classical-RR,21,0.5584813328505569
1,Classical-RR,22,0.5597718586804489
1,Classical-RR,23,0.5932542489725605
1,Classical-RR,24,0.5995899414165813
1,Classical-RR,25,0.5910979036399506
1,Classical-RR,26,0.5623145000274729
1,Classical-RR,27,0.5958065913112573
1,Classical-RR,28,0.632727547123678
1,Classical-RR,29,0.6437292791183619
1,Classical-RR,30,0.6256542088307995
1,Classical-RR,31,0.6922146407873065
1,Classical-RR,32,0.7550748301818451
1,Classical-RR,33,0.6716139659125558
1,Classical-RR,34,0.7131662966203898
1,Classical-RR,35,0.7580524961748689
1,Static-RIS,0,0.428704551751835
1,Static-RIS,1,0.4214218019491858
1,Static-RIS,2,0.4802617832707707
1,Static-RIS,3,0.3994995363094588
1,Static-RIS,4,0.479665143775503
1,Static-RIS,5,0.5444729219563872
1,Static-RIS,6,0.5341565403265379
1,Static-RIS,7,0.5545046321025631
1,Static-RIS,8,0.5235871941495067
1,Static-RIS,9,0.4873049530024308
1,Static-RIS,10,0.49652367300497535
1,Static-RIS,11,0.5356492971164468
1,Static-RIS,12,0.43640220847235195
1,Static-RIS,13,0.4403175493608734
1,Static-RIS,14,0.40111022172784094
1,Static-RIS,15,0.4093103879631447
1,Static-RIS,16,0.3906904295940994
1,Static-RIS,17,0.3951580049019776
1,Static-RIS,18,0.3413185596349926
1,Static-RIS,19,0.38869588653754616
1,Static-RIS,20,0.3494209363840072
1,Static-RIS,21,0.3128358035972887
1,Static-RIS,22,0.29562227070122826
1,Static-RIS,23,0.2833472889097094
1,Static-RIS,24,0.32885867720157996
1,Static-RIS,25,0.38470430533705324
1,Static-RIS,26,0.3443608558475537
1,Static-RIS,27,0.3392911250111424
1,Static-RIS,28,0.38266500469211817
1,Static-RIS,29,0.3919928678078146
1,Static-RIS,30,0.40378344815655964
1,Static-RIS,31,0.400169458527148
1,Static-RIS,32,0.4660877587509406
1,Static-RIS,33,0.5223689237890986
1,Static-RIS,34,0.5306454109319909
1,Static-RIS,35,0.5355677651827969
